prevword,nextword,prevtag,nexttag,bitva ,igrat,les ,class
весь,бой,pronoun,noun,0,0,0,10
картофельный,и,adj,conj,0,0,1,1
овсяный,когда,adj,conj,0,0,0,1
на,в,prep,prep,0,0,0,1
картофельный,быть,adj,verb,0,0,0,1
на,только,prep,adv,0,0,0,1
быть,опять,verb,adv,0,0,0,1
сентябрьский,встречаться,adj,verb,0,0,0,1
-,и,-,conj,0,0,0,1
на,падать,prep,verb,0,0,0,1
по,-,prep,-,0,0,0,1
весь,проскакать,pronoun,verb,0,0,0,1
игра,чудо,noun,noun,0,0,0,2
гороховый,другой,adj,pronoun,0,0,0,1
чёрный,разглядеть,adj,verb,0,0,0,5
в,поиск,prep,noun,0,0,0,5
коммутационный,неблокируемый,adj,adj,0,0,0,5
этот,либеральный,pronoun,adj,0,0,0,4
большой,для,adj,noun,0,0,0,4
чтобы,в,conj,prep,0,0,0,6
минный,теперь,adj,adv,0,0,0,2
футбольный,носиться,adj,verb,0,0,0,2
посередине ,несколько ,adv,pronoun,0,0,0,1
чужой,мало,adj,adv,0,0,0,2
огромный,большой,adj,adj,0,0,0,2
русский,прожить,adj,verb,0,0,0,1
магнитный,например,adj,prep,0,0,0,3
октябрьский,чтобы,adj,conj,0,0,0,1
заснеженный,-,adj,-,0,0,0,2
и,с,conj,prep,0,0,0,1
он,битва,pronoun,noun,1,0,0,2
на,жизнь,prep,noun,0,0,0,1
на,игра,prep,noun,0,0,0,2
семантический,восприятие,adj,noun,0,0,0,4
воспринимаемый ,-,adj,-,0,0,0,4
рефлексивный,сознание ,adj,noun,0,0,0,4
магнитный ,-,adj,-,0,0,0,3
нейтронный ,перспективный,adj,adj,0,0,0,3
изолиния,рельеф,noun,noun,0,0,0,1
возбуждение ,упругий,noun,adj,0,0,0,3
магнитный,солнце ,adj,noun,0,0,0,3
нестационарный,нейтрон,adj,noun,0,0,0,3
теория ,-,noun,-,0,0,0,3
электрический,-,adj,-,0,0,0,3
ослабление,тяговый,noun,adj,0,0,0,3
магнитный,и,adj,conj,0,0,0,3
свой ,не,pronoun,neg,0,0,0,1
в ,семиотический,prep,adj,0,0,0,4
на,сочинение ,prep,noun,0,0,0,6
электромагнитный,-,adj,-,0,0,0,3
карровый,что,adj,conj,0,0,0,1
лес,сад,noun,noun,0,0,1,1
электрический,-,adj,-,0,0,0,3
магнитный,на,adj,prep,0,0,0,3
волны,который,noun,pronoun,0,0,0,3
электрический,-,adj,-,0,0,0,3
физический,связанный,adj,adj,0,0,0,3
магнитный,изменяться,adj,verb,0,0,0,3
магнитный,-,adj,-,0,0,0,3
намагничивающийся ,и,adj,conj,0,0,0,3
наложение,ультразвук,noun,noun,0,0,0,3
магнитный,-,adj,-,0,0,0,3
электрический,протекать,adj,verb,0,0,0,3
магнитный,Н,adj,noun,0,0,0,3
электрический,в,adj,prep,0,0,0,3
напряжённый,в,adj,prep,0,0,0,3
-,Броман,-,noun,0,0,0,4
на,в,prep,prep,0,0,0,6
электрический,об,adj,prep,0,0,0,3
обезьяна,зрение,noun,noun,0,0,0,11
на,прошение,prep,noun,0,0,0,4
магнитный,Земля,adj,noun,0,0,0,3
гравитационный,и,adj,conj,0,0,0,3
орошение,и ,noun,conj,0,0,0,1
понятие,алгебраич.,noun,adj,0,0,0,4
идеальный,для,adj,prep,0,0,0,4
в,зрение,prep,noun,0,0,0,11
гравитационный,который,adj,conj,0,0,0,3
общность,погребальный,noun,adj,0,0,0,2
вне,зрение,adv,noun,0,0,0,11
зелёный,быть,adj,verb,0,0,0,2
в ,мощный,prep,adj,0,0,0,3
-,действие,-,noun,0,0,0,4
на,Куру,prep,noun,1,0,0,2
на,она,prep,pronoun,0,0,0,6
огромный,для,adj,prep,0,0,0,4
публичный,представляться,adj,verb,0,0,0,4
эмоционально-семантический,песня,adj,noun,0,0,0,4
каждый,или,pronoun,conj,0,0,0,4
силовой,теория,adj,noun,0,0,0,4
на ,сражение,prep,noun,0,0,0,2
Кучково,-,noun,-,0,0,0,2
идеальный,а,adj,conj,0,0,0,4
на,бой,prep,noun,0,0,0,10
лётный,звучать,adj,verb,0,0,0,2
клумба,и,noun,conj,0,0,0,1
ментальный,современность,adj,noun,0,0,0,4
с ,жаловаться,prep,verb,0,0,0,2
лётный,-,adj,-,0,0,0,2
половина,Игнашевич,noun,noun,0,0,0,2
голливудский,вряд,adj,adv,0,1,0,4
из,зрение,prep,noun,0,0,0,11
региональный,усмотреть,adj,verb,0,0,0,4
из,зрение,prep,noun,0,0,0,11
футбольный,-,adj,-,0,0,0,2
лётный,признаться,adj,verb,0,0,0,2
комсомольский,он,adj,pronoun,0,1,0,4
на,с,prep,prep,0,0,0,2
сузить,поиск,verb,noun,0,0,0,4
информационный,в,adj,prep,0,0,0,4
на,и,prep,conj,0,0,0,2
русский,индийский,adj,adj,0,0,0,2
-,на,-,prep,0,0,0,1
центр,стараться,noun,verb,0,0,0,2
хозяин ,и,noun,conj,0,0,0,2
видеть,центральный,verb,adj,0,0,0,2
из,он,prep,pronoun,0,0,0,3
Елисейский,работать,adj,verb,0,0,0,2
на,проиграть,prep,verb,0,0,0,2
правовой,-,adj,-,0,0,0,4
на,с,prep,prep,0,0,0,2
свой ,и,pronoun,conj,0,0,0,2
Волотов,разрушенный,noun,adj,0,0,0,1
на,чертёж,prep,noun,0,0,0,6
правовой,предстоять,adj,verb,0,0,0,4
правовой,система,adj,noun,0,0,0,4
центр,что,noun,conj,0,0,0,2
центр,на,noun,prep,0,0,0,2
по ,всё,prep,adj,0,1,0,2
в,заниматься,prep,verb,0,0,0,2
на,появиться,prep,verb,0,0,0,2
на,с,prep,prep,0,0,0,2
свой ,-,pronoun,-,0,0,0,2
на,два,prep,num,0,0,0,2
на,Энфилд,prep,noun,0,0,0,2
оставлять,бой,verb,noun,0,0,0,10
в,зрение,prep,noun,0,0,0,11
на,былой,prep,adj,0,0,0,2
Елисейский,в,adj,prep,0,0,0,2
по,и,prep,conj,0,0,0,1
большой,-,adj,-,0,0,0,1
в,обсевок,prep,noun,0,0,0,1
на,бой,prep,noun,0,0,0,10
свой ,игровой,pronoun,adj,0,0,0,4
футбольный,стадион ,adj,noun,0,0,0,2
во,берёзонька,prep,noun,0,0,0,1
выборный,чтобы,adj,conj,0,0,0,4
раздор ,где,noun,pronoun,0,0,0,4
информационный,кто,adj,pronoun,0,0,0,4
на,бой,prep,noun,0,0,0,10
в,зрение,prep,noun,0,0,0,11
дождливый,заливать,adj,verb,0,0,0,1
чистый,где,adj,pronoun,0,0,0,1
конституционный,-,adj,-,0,0,0,4
налоговый,-,adj,-,0,0,0,4
обширный,идиократический,adj,adj,0,0,0,4
законодательный,принимать,adj,verb,0,0,0,4
же,но,part,prep,0,1,0,2
пустой,на ,adj,prep,0,0,0,1
снежный,до ,adj,prep,0,0,0,2
царица ,-,noun,-,0,0,0,1
в,зрение,prep,noun,0,0,0,11
край,-,noun,-,0,0,0,1
в,под,prep,prep,0,0,0,1
окно,куст,noun,noun,0,0,0,1
стынуть,в,verb,prep,0,0,0,1
бы,и ,part,conj,0,0,0,1
лётный,неподвижно ,adj,adv,0,0,0,2
что,чуточку,conj,adv,0,0,0,7
травянистый,по,adj,prep,0,0,0,1
на,на,prep,prep,0,0,0,1
наш,зрение,pronoun,noun,0,0,0,11
электрический,попадать,adj,verb,0,0,0,3
лес,овраг,noun,noun,0,0,1,1
чистый,на ,adj,prep,0,0,0,1
Высокий,-,adj,-,0,0,0,1
тот,голый,pronoun,adj,0,0,0,1
засеваться,-,verb,-,0,0,0,1
степь,стрекотать,noun,verb,0,0,0,1
бесконечный,заросший,adj,adj,0,0,0,1
с,бой,prep,noun,0,0,0,10
картофельный,и,adj,conj,0,0,0,1
на ,но ,prep,conj,0,0,0,1
не,перейти,neg,verb,0,0,0,1
в,мой,prep,pronoun,0,0,0,11
ухоженный,бой,adj,noun,0,0,0,10
чистый,-,adj,-,0,0,0,1
в,в,prep,prep,0,0,0,1
к,где,prep,pronoun,0,0,0,1
раскинуться,-,verb,-,0,0,1,1
такой,и,pronoun,conj,0,0,0,1
далёкий,в,adj,prep,0,0,0,1
звезда,этот,noun,pronoun,0,0,0,1
крест,гореть,noun,verb,0,0,0,1
кромка,лес,noun,noun,0,0,1,1
магнитный,-,adj,-,0,0,0,3
на,и,prep,conj,0,0,0,2
в,и,prep,conj,0,0,0,1
один,ягода,num ,noun,0,0,0,1
представлять,деятельность,verb,noun,0,0,0,4
